employment_income,deducts,amt0,amt1,amt2,amt3,amt4,amt5,amt6,amt7
200000.0,136500.0,6907.0,7304.0,7606.0,7909.0,8212.0,8514.0,8817.0,9087.0
200000.0,137000.0,6941.0,7338.0,7640.0,7943.0,8246.0,8548.0,8851.0,9114.0
200000.0,137500.0,6975.0,7372.0,7674.0,7977.0,8280.0,8582.0,8885.0,9141.0
200000.0,138000.0,7009.0,7406.0,7708.0,8011.0,8314.0,8616.0,8919.0,9167.0
200000.0,138500.0,7043.0,7440.0,7742.0,8045.0,8348.0,8650.0,8953.0,9194.0
200000.0,139000.0,7077.0,7474.0,7776.0,8079.0,8382.0,8684.0,8983.0,9221.0
200000.0,139500.0,7111.0,7508.0,7810.0,8113.0,8416.0,8718.0,9010.0,9248.0
200000.0,140000.0,7145.0,7542.0,7844.0,8147.0,8450.0,8752.0,9036.0,9274.0
200000.0,140500.0,7179.0,7576.0,7878.0,8181.0,8484.0,8786.0,9063.0,9301.0
200000.0,141000.0,7213.0,7610.0,7912.0,8215.0,8518.0,8820.0,9090.0,9328.0
200000.0,141500.0,7247.0,7644.0,7946.0,8249.0,8552.0,8854.0,9117.0,9355.0
